,Symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-l/100km,highway-mpg,price,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
0,3.0,122.0,alfa-romero,two,convertible,rwd,front,88.6,-0.43831506892451066,-0.8513345559782994,-2.029014503258046,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,27.0,13495.0,Low,False,True,True,False
1,3.0,122.0,alfa-romero,two,convertible,rwd,front,88.6,-0.43831506892451066,-0.8513345559782994,-2.029014503258046,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,27.0,16500.0,Low,False,True,True,False
2,1.0,122.0,alfa-romero,two,hatchback,rwd,front,94.5,-0.24354426084678196,-0.18513448909205418,-0.5583194270710059,2823.0,ohcv,six,152.0,mpfi,2.68,3.47,9.0,154.0,5000.0,12.368421052631579,26.0,16500.0,Medium,False,True,True,False
3,2.0,164.0,audi,four,sedan,fwd,front,99.8,0.19469005732811231,0.14796554435106846,0.21788075202770876,2337.0,ohc,four,109.0,mpfi,3.19,3.4,10.0,102.0,5500.0,9.791666666666666,30.0,13950.0,Low,False,True,True,False
4,2.0,164.0,audi,four,sedan,4wd,front,99.4,0.19469005732811231,0.2431369824776759,0.21788075202770876,2824.0,ohc,five,136.0,mpfi,3.19,3.4,8.0,115.0,5500.0,13.055555555555555,22.0,17450.0,Low,False,True,True,False
5,2.0,122.0,audi,two,sedan,fwd,front,99.8,0.25149820968411846,0.1955512634143688,-0.27235094003463595,2507.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25.0,15250.0,Low,False,True,True,False
6,1.0,158.0,audi,four,sedan,fwd,front,105.8,1.501277561516221,2.622422935642828,0.7898177261004486,2844.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25.0,17710.0,Low,False,True,True,False
7,1.0,122.0,audi,four,wagon,fwd,front,105.8,1.501277561516221,2.622422935642828,0.7898177261004486,2954.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25.0,18920.0,Low,False,True,True,False
8,1.0,158.0,audi,four,sedan,fwd,front,105.8,1.501277561516221,2.622422935642828,0.8715230081108379,3086.0,ohc,five,131.0,mpfi,3.13,3.4,8.3,140.0,5500.0,13.823529411764707,20.0,23875.0,Medium,False,True,False,True
9,2.0,192.0,bmw,two,sedan,rwd,front,101.2,0.2109209580012579,-0.5182345225351769,0.21788075202770876,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,29.0,16430.0,Low,False,True,False,True
10,0.0,192.0,bmw,four,sedan,rwd,front,101.2,0.2109209580012579,-0.5182345225351769,0.21788075202770876,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,29.0,16925.0,Low,False,True,True,False
11,0.0,188.0,bmw,two,sedan,rwd,front,101.2,0.2109209580012579,-0.5182345225351769,0.21788075202770876,2710.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,28.0,20970.0,Medium,False,True,True,False
12,0.0,188.0,bmw,four,sedan,rwd,front,101.2,0.2109209580012579,-0.5182345225351769,0.21788075202770876,2765.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,28.0,21105.0,Medium,False,True,True,False
13,1.0,122.0,bmw,four,sedan,rwd,front,103.5,1.201005899063054,0.48106557779419107,0.7898177261004486,3055.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,11.75,25.0,24565.0,Medium,False,True,True,False
